Key,name,value
Case Type:,"U.S. v. General Adjustment Bureau, Inc. ",Civil Non-Merger
Case Violation:,"U.S. v. General Adjustment Bureau, Inc. ",Other Restraint of Trade
Case Violation:,"U.S. v. General Adjustment Bureau, Inc. ",Monopolization
Case Violation:,"U.S. v. General Adjustment Bureau, Inc. ",Boycott Agreements
Case Violation:,"U.S. v. General Adjustment Bureau, Inc. ",Agreements Not to Compete
Case Violation:,"U.S. v. General Adjustment Bureau, Inc. ",Exclusive Dealings and Requirements Contracts
Case Violation:,"U.S. v. General Adjustment Bureau, Inc. ",Price Fixing - Horizontal
Case Violation:,"U.S. v. General Adjustment Bureau, Inc. ","Restraint on Trade - Territorial, D.C."
Market:,"U.S. v. General Adjustment Bureau, Inc. ",Claims Adjusting
Industry Code:,"U.S. v. General Adjustment Bureau, Inc. ",Offices of Real Estate Agents and Brokers
Component:,"U.S. v. General Adjustment Bureau, Inc. ",Antitrust Division
Case Documents:,"U.S. v. General Adjustment Bureau, Inc. ",Final Judgment
Case Documents:,"U.S. v. General Adjustment Bureau, Inc. ",Stipulation
Case Documents:,"U.S. v. General Adjustment Bureau, Inc. ",Complaint
Case Open Date:,U.S. v. General Binding Corp. and Velobind Inc.,"Wednesday, July 24, 1991"
Case Name:,U.S. v. General Binding Corp. and Velobind Inc.,"United States v. General Binding Corp., and Velobind Inc."
Case Type:,U.S. v. General Binding Corp. and Velobind Inc.,Civil Merger
Case Violation:,U.S. v. General Binding Corp. and Velobind Inc.,Horizontal Merger
Market:,U.S. v. General Binding Corp. and Velobind Inc.,HIGH-VOLUME MECHANIZED BINDING MACHINES (ELECTRIC MACHINES USED TO SECURELY BIND DOCUMENTS INTO PROFESSIONAL-LOOKING REPORT.
Industry Code:,U.S. v. General Binding Corp. and Velobind Inc.,Office Machinery Manufacturing
Industry Code:,U.S. v. General Binding Corp. and Velobind Inc.,"Office Machines, Typewriters, etc."
Component:,U.S. v. General Binding Corp. and Velobind Inc.,Antitrust Division
Case Documents:,U.S. v. General Binding Corp. and Velobind Inc.,Final Judgment
Case Documents:,U.S. v. General Binding Corp. and Velobind Inc.,Competitive Impact Statement
Case Open Date:,U.S. v. General Cinema Corp. [1971],"Monday, September 13, 1971"
Case Name:,U.S. v. General Cinema Corp. [1971],United States v. General Cinema Corporation
Case Type:,U.S. v. General Cinema Corp. [1971],Civil Merger
Case Violation:,U.S. v. General Cinema Corp. [1971],Horizontal Merger
Case Violation:,U.S. v. General Cinema Corp. [1971],Vertical Merger
Market:,U.S. v. General Cinema Corp. [1971],Motion Picture Theatres - Motion Picture Exhibition
Industry Code:,U.S. v. General Cinema Corp. [1971],Motion Picture Theaters (except Drive-Ins)
Industry Code:,U.S. v. General Cinema Corp. [1971],"Motion Picture Theaters, Ex. Drive-In"
Component:,U.S. v. General Cinema Corp. [1971],Antitrust Division
Case Documents:,U.S. v. General Cinema Corp. [1971],Final Judgment
Case Documents:,U.S. v. General Cinema Corp. [1971],Stipulation
Case Documents:,U.S. v. General Cinema Corp. [1971],Complaint
Case Open Date:,U.S. v. General Cinema Corp.,"Monday, September 13, 1971"
Case Name:,U.S. v. General Cinema Corp.,United States v. General Cinema Corporation
Case Type:,U.S. v. General Cinema Corp.,Civil Merger
Case Violation:,U.S. v. General Cinema Corp.,Horizontal Merger
Case Violation:,U.S. v. General Cinema Corp.,Vertical Merger
Market:,U.S. v. General Cinema Corp.,Motion Picture Theatres - Motion Picture Exhibition
Industry Code:,U.S. v. General Cinema Corp.,Motion Picture Theaters (except Drive-Ins)
Industry Code:,U.S. v. General Cinema Corp.,"Motion Picture Theaters, Ex. Drive-In"
Component:,U.S. v. General Cinema Corp.,Antitrust Division
Case Documents:,U.S. v. General Cinema Corp.,Final Judgment
Case Documents:,U.S. v. General Cinema Corp.,Stipulation
Case Documents:,U.S. v. General Cinema Corp.,Complaint
Case Open Date:,U.S. v. General Contractors Association of Hawaii,"Tuesday, June 16, 1987"
Case Name:,U.S. v. General Contractors Association of Hawaii,United States v. General Contractors Association of Hawaii
Case Type:,U.S. v. General Contractors Association of Hawaii,Civil Non-Merger
Case Violation:,U.S. v. General Contractors Association of Hawaii,Agreements Not to Compete
Case Violation:,U.S. v. General Contractors Association of Hawaii,Exclusive Dealings and Requirements Contracts
Case Violation:,U.S. v. General Contractors Association of Hawaii,Other Restraint of Trade
Industry Code:,U.S. v. General Contractors Association of Hawaii,Business Associations
Industry Code:,U.S. v. General Contractors Association of Hawaii,"Plumbing, Heating, and Air-Conditioning Contractors"
Case Documents:,U.S. v. General Contractors Association of Hawaii,Final Judgment
Case Documents:,U.S. v. General Contractors Association of Hawaii,Competitive Impact Statement
Case Documents:,U.S. v. General Contractors Association of Hawaii,Complaint
Case Open Date:,U.S. v. General Dynamics Corp. and Newport News Shipbuilding Inc.,"Tuesday, October 23, 2001"
Case Name:,U.S. v. General Dynamics Corp. and Newport News Shipbuilding Inc.,United States v. General Dynamics Corporation and Newport News Shipbuilding Inc.
Case Type:,U.S. v. General Dynamics Corp. and Newport News Shipbuilding Inc.,Civil Merger
Case Violation:,U.S. v. General Dynamics Corp. and Newport News Shipbuilding Inc.,Horizontal Merger
Market:,U.S. v. General Dynamics Corp. and Newport News Shipbuilding Inc.,NUCLEAR SUBMARINES; ELECTRONIC DRIVE;  SURFACE COMBATANTS
Industry Code:,U.S. v. General Dynamics Corp. and Newport News Shipbuilding Inc.,Ship Building and Repairing
Component:,U.S. v. General Dynamics Corp. and Newport News Shipbuilding Inc.,Antitrust Division
Case Documents:,U.S. v. General Dynamics Corp. and Newport News Shipbuilding Inc.,Verified Complaint
Case Open Date:,"U.S. v. General Dynamics Corp.; Air Reduction Company, Inc.; Chemetron Corp.; and Olin Mathieson Chemical Corp.","Wednesday, December 21, 2005"
Case Name:,"U.S. v. General Dynamics Corp.; Air Reduction Company, Inc.; Chemetron Corp.; and Olin Mathieson Chemical Corp.","United States v. General Dynamics Corporation; Air Reduction Company, Inc.; Chemetron Corporation; and Olin Mathieson Chemical Corporation"
Case Type:,"U.S. v. General Dynamics Corp.; Air Reduction Company, Inc.; Chemetron Corp.; and Olin Mathieson Chemical Corp.",Civil Non-Merger
Case Violation:,"U.S. v. General Dynamics Corp.; Air Reduction Company, Inc.; Chemetron Corp.; and Olin Mathieson Chemical Corp.",No Violation Assigned
Market:,"U.S. v. General Dynamics Corp.; Air Reduction Company, Inc.; Chemetron Corp.; and Olin Mathieson Chemical Corp.",Carbon Dioxide manufacturing
Industry Code:,"U.S. v. General Dynamics Corp.; Air Reduction Company, Inc.; Chemetron Corp.; and Olin Mathieson Chemical Corp.",Industrial Gas Manufacturing
Component:,"U.S. v. General Dynamics Corp.; Air Reduction Company, Inc.; Chemetron Corp.; and Olin Mathieson Chemical Corp.",Antitrust Division
Case Documents:,"U.S. v. General Dynamics Corp.; Air Reduction Company, Inc.; Chemetron Corp.; and Olin Mathieson Chemical Corp.",Order Terminating 1963 Final Judgments
Case Documents:,"U.S. v. General Dynamics Corp.; Air Reduction Company, Inc.; Chemetron Corp.; and Olin Mathieson Chemical Corp.",Stipulation
Case Documents:,"U.S. v. General Dynamics Corp.; Air Reduction Company, Inc.; Chemetron Corp.; and Olin Mathieson Chemical Corp.",Memorandum of the United States in Response to Defendants' Uncontested Motions to Terminate the 1963 Final Judgment and the 1952 Final Judgment in United States v. Liquid Carbonic Corp.
Case Open Date:,U.S. v. General Electric Company,"Friday, June 6, 1986"
Case Name:,U.S. v. General Electric Company,United States v. General Electric Company
Case Type:,U.S. v. General Electric Company,Civil Merger
Case Violation:,U.S. v. General Electric Company,Horizontal Merger
Case Violation:,U.S. v. General Electric Company,Vertical Merger
Industry Code:,U.S. v. General Electric Company,Electron Tube Manufacturing
Case Documents:,U.S. v. General Electric Company,Final Judgment
Case Documents:,U.S. v. General Electric Company,Competitive Impact Statement
Case Documents:,U.S. v. General Electric Company,Complaint
Case Open Date:,U.S. v. General Electric Co. [1972],"Thursday, May 18, 1972"
Case Name:,U.S. v. General Electric Co. [1972],United States v. General Electric Co. [1972]
Case Type:,U.S. v. General Electric Co. [1972],Civil Non-Merger
Case Violation:,U.S. v. General Electric Co. [1972],Reciprocity
Industry Code:,U.S. v. General Electric Co. [1972],Electronic Parts and Equipment
Component:,U.S. v. General Electric Co. [1972],Antitrust Division
Case Documents:,U.S. v. General Electric Co. [1972],Final Judgment
Case Documents:,U.S. v. General Electric Co. [1972],Stipulation
Case Documents:,U.S. v. General Electric Co. [1972],Complaint
Case Open Date:,U.S. v. General Electric Co.,"Thursday, May 18, 1972"
Case Name:,U.S. v. General Electric Co.,United States v. General Electric Co. [1972]
Case Type:,U.S. v. General Electric Co.,Civil Non-Merger
Case Violation:,U.S. v. General Electric Co.,Reciprocity
Industry Code:,U.S. v. General Electric Co.,Electronic Parts and Equipment
Component:,U.S. v. General Electric Co.,Antitrust Division
Case Documents:,U.S. v. General Electric Co.,Final Judgment
Case Documents:,U.S. v. General Electric Co.,Stipulation
Case Documents:,U.S. v. General Electric Co.,Complaint
Case Open Date:,U.S. v. General Electric Co. and Baker Hughes Incorporated,"Monday, June 12, 2017"
Case Name:,U.S. v. General Electric Co. and Baker Hughes Incorporated,United States  v. General Electric Co. and Baker Hughes Incorporated
Case Type:,U.S. v. General Electric Co. and Baker Hughes Incorporated,Civil Merger
Case Violation:,U.S. v. General Electric Co. and Baker Hughes Incorporated,Horizontal Merger
Market:,U.S. v. General Electric Co. and Baker Hughes Incorporated,"Oilfield services and products, including Support Activities for Oil and Gas Operations and Oil and Gas Field Machinery and Equipment Manufacturing"
Industry Code:,U.S. v. General Electric Co. and Baker Hughes Incorporated,Oil and Gas Field Machinery and Equipment Manufacturing
Industry Code:,U.S. v. General Electric Co. and Baker Hughes Incorporated,Support Activities for Oil and Gas Operations
Component:,U.S. v. General Electric Co. and Baker Hughes Incorporated,Antitrust Division
Case Documents:,U.S. v. General Electric Co. and Baker Hughes Incorporated,Final Judgment
Case Documents:,U.S. v. General Electric Co. and Baker Hughes Incorporated,Plaintiff United States's Unopposed Motion and Memorandum for Entry of Modified Proposed Final Judgment
Exhibit 3: Certificate of Compliance with Provisions of the Antitrust Procedures and Penalties Act,U.S. v. General Electric Co. and Baker Hughes Incorporated,Hold Separate Stipulation and Order
Exhibit 3: Certificate of Compliance with Provisions of the Antitrust Procedures and Penalties Act,U.S. v. General Electric Co. and Baker Hughes Incorporated,Competitive Impact Statement
Exhibit 3: Certificate of Compliance with Provisions of the Antitrust Procedures and Penalties Act,U.S. v. General Electric Co. and Baker Hughes Incorporated,United States' Explanation of Consent Decree Procedures
Exhibit 3: Certificate of Compliance with Provisions of the Antitrust Procedures and Penalties Act,U.S. v. General Electric Co. and Baker Hughes Incorporated,[Proposed] Final Judgment
Exhibit 3: Certificate of Compliance with Provisions of the Antitrust Procedures and Penalties Act,U.S. v. General Electric Co. and Baker Hughes Incorporated,Complaint
Case Open Date:,"U.S. v. General Electric Co. and InnoServ Technologies, Inc.","Tuesday, July 14, 1998"
Case Name:,"U.S. v. General Electric Co. and InnoServ Technologies, Inc.","United States v. General Electric Co. and InnoServ Technologies, Inc."
Case Type:,"U.S. v. General Electric Co. and InnoServ Technologies, Inc.",Civil Merger
Case Violation:,"U.S. v. General Electric Co. and InnoServ Technologies, Inc.",Horizontal Merger
Market:,"U.S. v. General Electric Co. and InnoServ Technologies, Inc.",Medical Imaging Equipment; Prevus SVC Software|
Industry Code:,"U.S. v. General Electric Co. and InnoServ Technologies, Inc.","Electrical Repair Shops, NEC"
Industry Code:,"U.S. v. General Electric Co. and InnoServ Technologies, Inc.",Medical Equipment Rental and Leasing
Industry Code:,"U.S. v. General Electric Co. and InnoServ Technologies, Inc.",Medical and Hospital Equipment
Industry Code:,"U.S. v. General Electric Co. and InnoServ Technologies, Inc.",Other Electronic and Precision Equipment Repair and Maintenance
Component:,"U.S. v. General Electric Co. and InnoServ Technologies, Inc.",Antitrust Division
Case Documents:,"U.S. v. General Electric Co. and InnoServ Technologies, Inc.",Final Judgment
Case Documents:,"U.S. v. General Electric Co. and InnoServ Technologies, Inc.",Proposed Final Judgment
Case Documents:,"U.S. v. General Electric Co. and InnoServ Technologies, Inc.",Competitive Impact Statement
Case Documents:,"U.S. v. General Electric Co. and InnoServ Technologies, Inc.",Complaint
Case Open Date:,U.S. v. General Electric Co. and Instrumentarium OYJ,"Tuesday, September 16, 2003"
Case Name:,U.S. v. General Electric Co. and Instrumentarium OYJ,United States v. General Electric Co. and Instrumentarium OYJ
Case Type:,U.S. v. General Electric Co. and Instrumentarium OYJ,Civil Merger
Case Violation:,U.S. v. General Electric Co. and Instrumentarium OYJ,Horizontal Merger
Market:,U.S. v. General Electric Co. and Instrumentarium OYJ,MEDICAL IMAGING EQUIPMENT--CRITICAL CARE MONITORS|MEDICAL IMAGING EQUIPMENT-C-ARMS
Industry Code:,U.S. v. General Electric Co. and Instrumentarium OYJ,Electromedical and Electrotherapeutic Apparatus Manufacturing
Industry Code:,U.S. v. General Electric Co. and Instrumentarium OYJ,Irradiation Apparatus Manufacturing
Component:,U.S. v. General Electric Co. and Instrumentarium OYJ,Antitrust Division
Case Documents:,U.S. v. General Electric Co. and Instrumentarium OYJ,Notice Regarding Second Time Extension
Case Documents:,U.S. v. General Electric Co. and Instrumentarium OYJ,Notice Regarding Time Extension
Case Documents:,U.S. v. General Electric Co. and Instrumentarium OYJ,Final Judgment
Case Documents:,U.S. v. General Electric Co. and Instrumentarium OYJ,United States' Motion for Entry of Final Judgment
Case Documents:,U.S. v. General Electric Co. and Instrumentarium OYJ,Response to Public Comment
Case Documents:,U.S. v. General Electric Co. and Instrumentarium OYJ,Competitive Impact Statement
Case Documents:,U.S. v. General Electric Co. and Instrumentarium OYJ,[Proposed] Final Judgment
Case Documents:,U.S. v. General Electric Co. and Instrumentarium OYJ,Hold Separate Stipulation and Order
Case Documents:,U.S. v. General Electric Co. and Instrumentarium OYJ,Stipulated Motion of the Parties to Place Exhibit 1 to Plaintiff's Proposed Final Judgment and Exhibit A (Part 2) to the Parties' Hold Separate Stipulation and Order Under Seal
Case Documents:,U.S. v. General Electric Co. and Instrumentarium OYJ,Certificate of Service
Case Documents:,U.S. v. General Electric Co. and Instrumentarium OYJ,United States' Memorandum Regarding Procedures for Entry of Final Judgments
Case Documents:,U.S. v. General Electric Co. and Instrumentarium OYJ,Complaint
Case Open Date:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC","Tuesday, September 8, 2015"
Case Name:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC","United States v. General Electric Company, Alstom S.A., and Power Systems Mfg., LLC."
Case Type:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",Civil Merger
Industry Code:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",Turbine and Turbine Generator Set Units Manufacturing
Industry Code:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",Mechanical Power Transmission Equipment Manufacturing
Industry Code:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC","Power, Distribution, and Specialty Transformer Manufacturing"
Component:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",Antitrust Division
Case Documents:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",Notice of Extension of Time
Case Documents:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",Final Judgment
Case Documents:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",Motion and Memorandum of the United States in Support of Entry of Final Judgment
Case Documents:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",Certificate of Compliance with Provisions of the Antitrust Procedures and Penalties Act
Case Documents:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",[Proposed] Final Judgment
Case Documents:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",Plaintiff United States's Status Report
Case Documents:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",Memorandum of Points and Authorities in Support of Unopposed Motion of the United States to Appoint ING Financial Markets LLC as Monitoring Trustee
Case Documents:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",[Proposed] Order
Case Documents:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",Notification of Partial Compliance with the Antitrust Procedures and Penalties Act
Case Documents:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",Competitive Impact Statement
Case Documents:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",Hold Separate Stipulations and Order
Case Documents:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",Proposed Final Judgment
Case Documents:,"U.S. v. General Electric Co.; Alstom S.A.; and Power Systems Mfg., LLC",Complaint
Case Open Date:,U.S. v. General Electric Co.; CVT Holding SAS; Financière CVT SAS; and Converteam Group SAS,"Monday, August 29, 2011"
Case Name:,U.S. v. General Electric Co.; CVT Holding SAS; Financière CVT SAS; and Converteam Group SAS,"United States v. General Electric Company, and CVT Holding SAS, Financiere CVT SAS, and Converteam Group SAS"
Case Type:,U.S. v. General Electric Co.; CVT Holding SAS; Financière CVT SAS; and Converteam Group SAS,Civil Merger
Case Violation:,U.S. v. General Electric Co.; CVT Holding SAS; Financière CVT SAS; and Converteam Group SAS,Horizontal Merger
Market:,U.S. v. General Electric Co.; CVT Holding SAS; Financière CVT SAS; and Converteam Group SAS,Low-speed synchronous electric motors for compressors used in oil and gas Industry (LSSMs)
Industry Code:,U.S. v. General Electric Co.; CVT Holding SAS; Financière CVT SAS; and Converteam Group SAS,Motor and Generator Manufacturing
Component:,U.S. v. General Electric Co.; CVT Holding SAS; Financière CVT SAS; and Converteam Group SAS,Antitrust Division
Case Documents:,U.S. v. General Electric Co.; CVT Holding SAS; Financière CVT SAS; and Converteam Group SAS,Final Judgment
Case Documents:,U.S. v. General Electric Co.; CVT Holding SAS; Financière CVT SAS; and Converteam Group SAS,Motion and Memorandum of the United Staes in Support of Entry of Final Judgment
Case Documents:,U.S. v. General Electric Co.; CVT Holding SAS; Financière CVT SAS; and Converteam Group SAS,Certificate of Compliance with Provisions of the Antitrust Procedures and Penalties Act
Case Documents:,U.S. v. General Electric Co.; CVT Holding SAS; Financière CVT SAS; and Converteam Group SAS,[Proposed] Final Judgment
Case Documents:,U.S. v. General Electric Co.; CVT Holding SAS; Financière CVT SAS; and Converteam Group SAS,(Proposed) Final Judgment
Case Documents:,U.S. v. General Electric Co.; CVT Holding SAS; Financière CVT SAS; and Converteam Group SAS,Competitive Impact Statement
Case Documents:,U.S. v. General Electric Co.; CVT Holding SAS; Financière CVT SAS; and Converteam Group SAS,Hold Separate Stipulation and Order
Case Documents:,U.S. v. General Electric Co.; CVT Holding SAS; Financière CVT SAS; and Converteam Group SAS,Complaint
Case Open Date:,U.S. v. General Electric Co.; De Beers Centenary AG; Peter Frenz; and Philippe Liotier,"Thursday, February 17, 1994"
Case Name:,U.S. v. General Electric Co.; De Beers Centenary AG; Peter Frenz; and Philippe Liotier,"United States v. General Electric Company, De Beers Centenary AG, Peter Frenz, and Philippe Liotier"
Case Type:,U.S. v. General Electric Co.; De Beers Centenary AG; Peter Frenz; and Philippe Liotier,Criminal
Case Violation:,U.S. v. General Electric Co.; De Beers Centenary AG; Peter Frenz; and Philippe Liotier,Aiding and Abetting
Case Violation:,U.S. v. General Electric Co.; De Beers Centenary AG; Peter Frenz; and Philippe Liotier,Price Fixing - Horizontal
Market:,U.S. v. General Electric Co.; De Beers Centenary AG; Peter Frenz; and Philippe Liotier,Industrial Diamonds
Industry Code:,U.S. v. General Electric Co.; De Beers Centenary AG; Peter Frenz; and Philippe Liotier,Industrial Supplies
Component:,U.S. v. General Electric Co.; De Beers Centenary AG; Peter Frenz; and Philippe Liotier,Antitrust Division
Case Documents:,U.S. v. General Electric Co.; De Beers Centenary AG; Peter Frenz; and Philippe Liotier,Plea Agreement
Case Name:,General Electric Co. v. Thomas J. Zuchowski,General Electric Company v. Thomas J. Zuchowski
Industry Code:,General Electric Co. v. Thomas J. Zuchowski,None
Component:,General Electric Co. v. Thomas J. Zuchowski,Antitrust Division
Case Documents:,General Electric Co. v. Thomas J. Zuchowski,"Stipulation Not to Oppose the United States' Motion to Modify the Protective Orders Entered on August 4, 1987 and January 3, 1990"
Case Documents:,General Electric Co. v. Thomas J. Zuchowski,"United States' Motion to Modify the Protective Orders Entered on August 4, 1987 and January 3, 1990"
Case Open Date:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.","Wednesday, July 1, 2015"
Case Name:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.","AB Electrolux, Electrolux North America, Inc., and General Electric Company"
Case Type:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Civil Merger
Case Violation:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Horizontal Merger
Market:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Household Cooking Appliance
Industry Code:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.","Commercial Laundry, Drycleaning, and Pressing Machine Manufacturing"
Industry Code:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Household Cooking Appliance Manufacturing
Industry Code:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Household Laundry Equipment Manufacturing
Industry Code:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Household Refrigerator and Home Freezer Manufacturing
Industry Code:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Other Major Household Appliance Manufacturing
Industry Code:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Small Electrical Appliance Manufacturing
Component:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Antitrust Division
Case Documents:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",United States' Pretrial Memorandum  [Public Redacted Version]
Case Documents:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",United States' Opening Statement [Public Redacted Version]
Case Documents:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",United States' Memorandum in Opposition to Defendants' Motion to Enforce this Court's Order Compelling Plaintiff to Produce Documents Responsive to Requests 22 & 23 in Defendants' First Request for Production
Case Documents:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Order Governing Procedures for Use of Confidential Information at Trial
Case Documents:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Order on United States’ Motion for a Protective Order and Additional Discovery
Case Documents:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",United States' Motion for a Protective Order and Additional Discovery
Case Documents:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Memorandum Opinion on Parties’ Motions to Compel
Case Documents:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Amended Protective Order Regarding Confidentiality
Case Documents:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Amended Scheduling Order
Case Documents:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Stipulated Protective Order Regarding Confidentiality
Case Documents:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Stipulation Regarding Scheduling and Case Management and [Proposed] Trial Setting and Case-Management Order
Case Documents:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Joint Motion Requesting that the Court Enter [Proposed] Trial Setting and Case-Management Order and Stipulated Protective Order Regarding Confidentiality
Case Documents:,"U.S. v. AB Electrolux; Electrolux North America, Inc.; and General Electric Co.",Complaint
Case Open Date:,"U.S. v. General Host Corporation, Continental Baking Company, William Freihofer Baking Co., Huber Baking Company, Inc., Schaible's Bakery, Stroehmann Brothers Company, and Ward foods, Inc.","Wednesday, March 13, 1968"
Case Name:,"U.S. v. General Host Corporation, Continental Baking Company, William Freihofer Baking Co., Huber Baking Company, Inc., Schaible's Bakery, Stroehmann Brothers Company, and Ward foods, Inc.","United States v. General Host Corporation, Continental Baking Company, William Freihofer Baking Co., Huber Baking Company, Inc., Schaible's Bakery., Stroehmann Brothers Company, and Ward foods, Inc."
Case Type:,"U.S. v. General Host Corporation, Continental Baking Company, William Freihofer Baking Co., Huber Baking Company, Inc., Schaible's Bakery, Stroehmann Brothers Company, and Ward foods, Inc.",Civil Non-Merger
Case Violation:,"U.S. v. General Host Corporation, Continental Baking Company, William Freihofer Baking Co., Huber Baking Company, Inc., Schaible's Bakery, Stroehmann Brothers Company, and Ward foods, Inc.",Price Fixing - Horizontal
Case Violation:,"U.S. v. General Host Corporation, Continental Baking Company, William Freihofer Baking Co., Huber Baking Company, Inc., Schaible's Bakery, Stroehmann Brothers Company, and Ward foods, Inc.",Price Fixing - Vertical
Industry Code:,"U.S. v. General Host Corporation, Continental Baking Company, William Freihofer Baking Co., Huber Baking Company, Inc., Schaible's Bakery, Stroehmann Brothers Company, and Ward foods, Inc.","Bread, Cake, and Related Products"
Case Documents:,"U.S. v. General Host Corporation, Continental Baking Company, William Freihofer Baking Co., Huber Baking Company, Inc., Schaible's Bakery, Stroehmann Brothers Company, and Ward foods, Inc.",Final Judgment
Case Open Date:,"U.S. v. General Linen Supply & Laundry Co., Inc. d/b/a Cascade Linen & Uniform Service and Cascade Linen Supply; Best Metropolitan Towel & Linen Supply Co., Inc.; Joseph Lagana; and Edward Savarese","Thursday, May 12, 2005"
Case Name:,"U.S. v. General Linen Supply & Laundry Co., Inc. d/b/a Cascade Linen & Uniform Service and Cascade Linen Supply; Best Metropolitan Towel & Linen Supply Co., Inc.; Joseph Lagana; and Edward Savarese","United States v. General Linen Supply & Laundry Co., Inc., d/b/a Cascade Linen & Uniform Service and Cascade Linen Supply; Best Metropolitan Towel & Linen Supply Co., Inc.; Joseph Lagana; and Edward Savarese"
Case Type:,"U.S. v. General Linen Supply & Laundry Co., Inc. d/b/a Cascade Linen & Uniform Service and Cascade Linen Supply; Best Metropolitan Towel & Linen Supply Co., Inc.; Joseph Lagana; and Edward Savarese",Criminal
Case Violation:,"U.S. v. General Linen Supply & Laundry Co., Inc. d/b/a Cascade Linen & Uniform Service and Cascade Linen Supply; Best Metropolitan Towel & Linen Supply Co., Inc.; Joseph Lagana; and Edward Savarese","Customer, Territorial or Market Allocation - Horizontal"
Market:,"U.S. v. General Linen Supply & Laundry Co., Inc. d/b/a Cascade Linen & Uniform Service and Cascade Linen Supply; Best Metropolitan Towel & Linen Supply Co., Inc.; Joseph Lagana; and Edward Savarese",Linen supply services
Industry Code:,"U.S. v. General Linen Supply & Laundry Co., Inc. d/b/a Cascade Linen & Uniform Service and Cascade Linen Supply; Best Metropolitan Towel & Linen Supply Co., Inc.; Joseph Lagana; and Edward Savarese",Linen Supply
Component:,"U.S. v. General Linen Supply & Laundry Co., Inc. d/b/a Cascade Linen & Uniform Service and Cascade Linen Supply; Best Metropolitan Towel & Linen Supply Co., Inc.; Joseph Lagana; and Edward Savarese",Antitrust Division
Case Documents:,"U.S. v. General Linen Supply & Laundry Co., Inc. d/b/a Cascade Linen & Uniform Service and Cascade Linen Supply; Best Metropolitan Towel & Linen Supply Co., Inc.; Joseph Lagana; and Edward Savarese",Indictment
Case Open Date:,U.S. v. General Motors Corp. and Ford Motor Co.,"Monday, May 1, 1972"
Case Name:,U.S. v. General Motors Corp. and Ford Motor Co.,United States v. General motors Corporation and Ford Motor Company
